longitude,latitude,time,10u,10v,100u,100v,msl,swvl1,geo500,2t
129.5,36.0,1941-03-25,2.6378021,1.4033661,3.64090735,2.1753465000000003,101907.8125,0.14249552999999998,54343.485,5.7650451
129.5,36.0,1941-04-01,0.6567460000000003,-2.1518859999999997,0.7151946499999999,-2.7464904,101874.28,0.119348088,53556.697499999995,5.3484192
129.5,36.0,1941-04-07,1.70765685,-0.78045655,1.7233886500000002,-0.7524718999999997,102259.875,0.11464277,54044.4685,6.04068
129.5,36.0,1941-04-13,-1.3381195229999998,-3.07009135,-1.61634826,-4.396934525,101054.5,0.132237915,54475.859,9.7718815
129.5,36.0,1941-04-19,2.03050235,2.5890274,3.5141067,3.7069703499999997,101193.5,0.09251405,55997.773499999996,11.531952
129.5,36.0,1941-04-25,2.4049835,1.26847075,3.8700333000000002,1.3264541500000002,101207.4375,0.08849275300000001,54731.5935,12.029083
129.5,36.0,1941-05-01,2.2405472,2.864769,3.99255365,4.2304611,101626.345,0.07106248000000001,56090.166,14.4006655
129.5,36.0,1941-05-07,0.50296783,-0.3693160999999999,0.10442351500000002,-0.39144895,101536.435,0.0824863725,56712.59,15.133087
129.5,36.0,1941-05-13,0.08632660000000003,-0.9999313200000001,-0.010124250000000057,-1.1185150350000002,101302.375,0.1192185325,55338.3175,14.321869
129.5,36.0,1941-05-19,2.65692895,2.5451584,4.9866791,3.1839599499999998,100918.345,0.084959775,55891.3785,17.054412499999998
129.5,36.0,1941-05-25,-2.7127838,-2.6290130499999997,-3.1934357,-3.06853485,100905.6875,0.07093401199999999,56070.9715,16.5088195
129.5,36.0,1941-06-01,2.59221645,0.95560453,4.358337499999999,0.1297989,100912.0325,0.10904504500000001,56171.03,19.5710145
129.5,36.0,1941-06-07,-1.8403320500000002,-1.7794417999999999,-2.2507324,-1.98437505,100980.5925,0.08557479500000001,55394.379,15.473419
129.5,36.0,1941-06-13,-2.123168985,-6.9722518,-2.75569915,-8.75417335,100924.7175,0.082602782,56012.8885,15.991119000000001
129.5,36.0,1941-06-19,-2.78246305,-7.3185424999999995,-3.70185085,-9.388480999999999,100917.0625,0.08907723000000001,56099.4985,16.5084535
129.5,36.0,1941-06-25,0.479568485,2.90380095,0.9993744,3.8602600000000002,100769.185,0.084209002,56927.912,21.296478
129.5,36.0,1941-07-01,2.3230667,3.4764938499999998,4.8502198,4.61705025,100716.5,0.20320502000000001,57190.504,22.3314515
129.5,36.0,1941-07-07,2.5434723,1.92039492,4.4407577499999995,1.783042915,100222.1575,0.17453661,57033.075,24.3264465
129.5,36.0,1941-07-13,-3.384079,-6.9318922999999995,-4.46102915,-8.858246000000001,100735.78,0.188300455,56029.847,18.894561500000002
129.5,36.0,1941-07-19,-2.0070571999999998,-3.7884368999999998,-3.0884017999999998,-4.97719575,100813.5625,0.150126945,56497.68949999999,19.4292905
129.5,36.0,1941-07-25,-1.8743210000000001,-5.14860535,-3.1738204999999997,-7.1967087,100734.5,0.165376465,57282.6375,21.046478
129.5,36.0,1941-08-01,1.187179572,0.48523712500000005,2.010986325,0.18583680000000002,100816.5625,0.16030864,57155.2125,24.452362
129.5,36.0,1941-08-07,-1.3793182499999999,0.07119752499999998,-2.03046415,0.3838958499999999,101051.125,0.16554649,57767.901,24.7688905
129.5,36.0,1941-08-13,1.158287026,1.9778976,2.066215535,2.5990829499999997,100202.6575,0.163211025,56895.229,25.7768865
129.5,36.0,1941-08-19,0.28847505000000007,-0.6227188100000001,0.23633575000000007,-1.05911255,100786.0,0.1460221,57181.307499999995,24.701935
129.5,36.0,1941-08-25,3.26470185,1.76026915,4.94281775,1.72351075,100417.5925,0.185873355,56380.104999999996,23.3056945
129.5,36.0,1941-09-01,-0.55965424,-0.61785889,-0.738647485,-0.53514865,101496.315,0.165109175,57488.9845,22.036621
129.5,36.0,1941-09-07,4.840400750000001,-0.83206178,6.6524813,-1.44955445,100843.75,0.156883335,55957.959,20.808502
129.5,36.0,1941-09-13,2.2086791999999997,-0.28985595,2.7199402,-0.74161529,101397.5,0.178167045,56616.354999999996,20.307526
129.5,36.0,1941-09-19,-2.69486235,-6.0151672000000005,-3.67510225,-7.6432267,101041.5625,0.16173786,56090.843,19.082061500000002
